"","Site","Plot","Nest","Cover","BRC","Year","species"
"58",11,3,1,0.5,9201617,2,"Prunus spinosa"
"59",11,3,1,0.5,9201728,2,"Rubus fruticosus agg."
"60",11,3,1,1,9201753,2,"Rumex sanguineus"
"61",11,3,4,0.5,9201905,2,"Senecio vulgaris"
"62",11,3,4,0.5,9202012,2,"Stellaria media"
"63",11,3,5,0.5,9202032,2,"Tamus communis"
"64",11,3,3,0.5,9202126,2,"Urtica dioica"
"65",11,3,4,0.5,9202168,2,"Veronica chamaedrys"
"66",11,3,NA,NA,9204446,2,"Quercus seedling/sp"
"67",11,3,4,0.5,9204530,2,"Epilobium sp."
"68",11,4,4,0.5,910211,2,"Athyrium filix-femina"
"69",11,4,5,0.5,910662,2,"Dryopteris affinis"
"70",11,4,4,1,910665,2,"Dryopteris filix-mas"
"71",11,4,4,0.5,920250,2,"Brachypodium sylvaticum"
"72",11,4,2,0.5,920412,2,"Carex remota"
"73",11,4,NA,NA,920557,2,"Corylus avellana"
"74",11,4,3,0.5,920557,2,"Corylus avellana"
"75",11,4,1,1,920627,2,"Deschampsia cespitosa"
"76",11,4,NA,NA,920841,2,"Fraxinus excelsior (c)"
"77",11,4,1,0.5,920841,2,"Fraxinus excelsior (c)"
"78",11,4,2,1,200001593,2,"Poa nemoralis/trivialis"
"79",11,4,5,0.5,9201660,2,"Ranunculus repens"
"80",11,4,1,60,9201728,2,"Rubus fruticosus agg."
"81",11,4,1,0.5,9201753,2,"Rumex sanguineus"
"82",11,4,3,0.5,9201905,2,"Senecio vulgaris"
"83",11,4,5,0.5,9202012,2,"Stellaria media"
"84",11,4,2,0.5,9202034,2,"Taraxacum agg."
"85",11,4,NA,NA,9204445,2,"Betula seedling/sp"
"86",11,4,NA,NA,9204446,2,"Quercus seedling/sp"
"87",11,4,2,0.5,9204837,2,"Crataegus sp."
"88",11,4,5,1,200001583,2,"Dryopteris dilatata/carthusiana"
"89",11,5,2,0.5,92046,2,"Ajuga reptans"
"90",11,5,1,0.5,910211,2,"Athyrium filix-femina"
"91",11,5,3,0.5,910665,2,"Dryopteris filix-mas"
"92",11,5,1,1,920412,2,"Carex remota"
"93",11,5,4,0.5,920513,2,"Circaea lutetiana"
"94",11,5,NA,NA,920557,2,"Corylus avellana"
"95",11,5,1,65,920627,2,"Deschampsia cespitosa"
"96",11,5,2,0.5,920833,2,"Filipendula ulmaria"
"97",11,5,2,0.5,920838,2,"Fragaria vesca"
"98",11,5,NA,NA,920841,2,"Fraxinus excelsior (c)"
"99",11,5,1,0.5,920841,2,"Fraxinus excelsior (c)"
"100",11,5,4,0.5,920882,2,"Galium palustre"
"101",11,5,1,0.5,920984,2,"Holcus mollis"
"102",11,5,1,1,9201067,2,"Juncus effusus"
"103",11,5,3,0.5,9201188,2,"Lonicera periclymenum"
"104",11,5,3,0.5,9201413,2,"Oxalis acetosella"
"105",11,5,4,0.5,9201607,2,"Primula vulgaris"
"106",11,5,1,30,9201728,2,"Rubus fruticosus agg."
"107",11,5,4,0.5,9202168,2,"Veronica chamaedrys"
"108",11,5,1,0.5,9202249,2,"Callitriche seedling/sp"
"109",11,5,NA,NA,9204446,2,"Quercus seedling/sp"
"110",11,5,3,0.5,9204583,2,"Carex seedling/sp"
"111",11,5,4,0.5,200001583,2,"Dryopteris dilatata/carthusiana"
"112",11,6,5,0.5,910211,2,"Athyrium filix-femina"
"113",11,6,4,0.5,910665,2,"Dryopteris filix-mas"
"114",11,6,4,0.5,920105,2,"Anemone nemorosa"
"115",11,6,2,0.5,920250,2,"Brachypodium sylvaticum"
"116",11,6,3,0.5,920412,2,"Carex remota"
"117",11,6,3,0.5,920513,2,"Circaea lutetiana"
"118",11,6,NA,NA,920557,2,"Corylus avellana"
"119",11,6,5,0.5,920569,2,"Crataegus monogyna"
"120",11,6,3,0.5,920627,2,"Deschampsia cespitosa"
"121",11,6,3,0.5,920833,2,"Filipendula ulmaria"
"122",11,6,5,0.5,920838,2,"Fragaria vesca"
"123",11,6,NA,NA,920841,2,"Fraxinus excelsior (c)"
"124",11,6,1,0.5,920841,2,"Fraxinus excelsior (c)"
"125",11,6,4,0.5,920873,2,"Galium aparine"
"126",11,6,5,0.5,920931,2,"Glechoma hederacea"
"127",11,6,4,0.5,920983,2,"Holcus lanatus"
"128",11,6,3,0.5,9201291,2,"Mercurialis perennis"
"129",11,6,4,0.5,9201413,2,"Oxalis acetosella"
"130",11,6,3,1,200001593,2,"Poa nemoralis/trivialis"
"131",11,6,4,0.5,9201649,2,"Ranunculus ficaria"
"132",11,6,1,90,9201728,2,"Rubus fruticosus agg."
"133",11,6,5,0.5,9201753,2,"Rumex sanguineus"
"134",11,6,5,0.5,9202012,2,"Stellaria media"
"135",11,6,5,0.5,9202034,2,"Taraxacum agg."
"136",11,6,5,0.5,9202126,2,"Urtica dioica"
"137",11,6,3,0.5,9202168,2,"Veronica chamaedrys"
"138",11,6,NA,NA,9204446,2,"Quercus seedling/sp"
"139",11,6,2,0.5,9204530,2,"Epilobium sp."
"140",11,6,2,0.5,200001583,2,"Dryopteris dilatata/carthusiana"
"141",11,7,2,1,910665,2,"Dryopteris filix-mas"
"142",11,7,5,0.5,920412,2,"Carex remota"
"143",11,7,1,0.5,920481,2,"Chenopodium album agg."
"144",11,7,NA,NA,920557,2,"Corylus avellana"
"145",11,7,3,0.5,920569,2,"Crataegus monogyna"
"146",11,7,1,0.5,920627,2,"Deschampsia cespitosa"
"147",11,7,NA,NA,920841,2,"Fraxinus excelsior (c)"
"148",11,7,1,0.5,920841,2,"Fraxinus excelsior (c)"
"149",11,7,2,0.5,9201067,2,"Juncus effusus"
"150",11,7,2,1,200001593,2,"Poa nemoralis/trivialis"
"151",11,7,1,50,9201728,2,"Rubus fruticosus agg."
"152",11,7,1,1,9201753,2,"Rumex sanguineus"
"153",11,7,2,0.5,9201905,2,"Senecio vulgaris"
"154",11,7,1,0.5,9202034,2,"Taraxacum agg."
"155",11,7,1,1,9202126,2,"Urtica dioica"
"156",11,7,5,0.5,9202249,2,"Callitriche seedling/sp"
"157",11,7,NA,NA,9204446,2,"Quercus seedling/sp"
"158",11,7,4,0.5,200001583,2,"Dryopteris dilatata/carthusiana"
"159",11,8,NA,NA,9203,2,"Acer campestre"
"160",11,8,4,0.5,920250,2,"Brachypodium sylvaticum"
"161",11,8,5,0.5,920412,2,"Carex remota"
"162",11,8,4,0.5,920421,2,"Carex sylvatica"
"163",11,8,1,0.5,920513,2,"Circaea lutetiana"
"164",11,8,3,0.5,920522,2,"Cirsium vulgare"
"165",11,8,NA,NA,920557,2,"Corylus avellana"
"166",11,8,2,0.5,920607,2,"Dactylis glomerata"
"167",11,8,4,0.5,920627,2,"Deschampsia cespitosa"
"168",11,8,5,0.5,920833,2,"Filipendula ulmaria"
"169",11,8,1,0.5,920841,2,"Fraxinus excelsior (c)"
"170",11,8,2,0.5,920925,2,"Geum urbanum"
"171",11,8,2,0.5,9201067,2,"Juncus effusus"
"172",11,8,1,10,9201291,2,"Mercurialis perennis"
"173",11,8,1,20,200001593,2,"Poa nemoralis/trivialis"
"174",11,8,5,0.5,9201660,2,"Ranunculus repens"
"175",11,8,1,80,9201728,2,"Rubus fruticosus agg."
"176",11,8,2,1,9201753,2,"Rumex sanguineus"
"177",11,8,5,0.5,9201905,2,"Senecio vulgaris"
"178",11,8,4,0.5,9202126,2,"Urtica dioica"
"179",11,8,5,0.5,9202168,2,"Veronica chamaedrys"
"180",11,8,5,0.5,9202249,2,"Callitriche seedling/sp"
"181",11,8,NA,NA,9204446,2,"Quercus seedling/sp"
"182",11,9,NA,NA,9203,2,"Acer campestre"
"183",11,9,2,1,910665,2,"Dryopteris filix-mas"
"184",11,9,5,0.5,920250,2,"Brachypodium sylvaticum"
"185",11,9,5,0.5,920412,2,"Carex remota"
"186",11,9,5,0.5,920513,2,"Circaea lutetiana"
"187",11,9,2,1,920627,2,"Deschampsia cespitosa"
"188",11,9,NA,NA,920841,2,"Fraxinus excelsior (c)"
"189",11,9,1,0.5,920841,2,"Fraxinus excelsior (c)"
"190",11,9,5,0.5,9201067,2,"Juncus effusus"
"191",11,9,1,5,200001593,2,"Poa nemoralis/trivialis"
"192",11,9,5,0.5,9201649,2,"Ranunculus ficaria"
"193",11,9,2,0.5,9201660,2,"Ranunculus repens"
"194",11,9,1,90,9201728,2,"Rubus fruticosus agg."
"195",11,9,2,0.5,9201753,2,"Rumex sanguineus"
"196",11,9,2,0.5,9201899,2,"Senecio jacobaea"
"197",11,9,4,0.5,9202032,2,"Tamus communis"
"198",11,9,1,1,9202126,2,"Urtica dioica"
"199",11,9,2,0.5,9202168,2,"Veronica chamaedrys"
"200",11,10,3,1,92039,2,"Agrostis stolonifera"
"201",11,10,1,0.5,92082,2,"Alopecurus geniculatus"
"202",11,10,3,0.5,910665,2,"Dryopteris filix-mas"
"203",11,10,1,0.5,920176,2,"Arum maculatum"
"204",11,10,5,0.5,920250,2,"Brachypodium sylvaticum"
"205",11,10,1,1,920412,2,"Carex remota"
"206",11,10,4,0.5,920421,2,"Carex sylvatica"
"207",11,10,1,0.5,920513,2,"Circaea lutetiana"
"208",11,10,2,0.5,920627,2,"Deschampsia cespitosa"
"209",11,10,1,0.5,920833,2,"Filipendula ulmaria"
"210",11,10,NA,NA,920841,2,"Fraxinus excelsior (c)"
"211",11,10,1,0.5,920925,2,"Geum urbanum"
"212",11,10,5,0.5,9201063,2,"Juncus conglomeratus"
"213",11,10,2,5,9201067,2,"Juncus effusus"
"214",11,10,5,0.5,920240,2,"Betula pubescens"
"215",11,10,2,0.5,9201488,2,"Plantago major"
"216",11,10,1,5,200001593,2,"Poa nemoralis/trivialis"
"217",11,10,5,0.5,9201649,2,"Ranunculus ficaria"
"218",11,10,1,0.5,9201660,2,"Ranunculus repens"
"219",11,10,4,1,9201696,2,"Ribes rubrum"
"220",11,10,1,85,9201728,2,"Rubus fruticosus agg."
"221",11,10,1,1,9201753,2,"Rumex sanguineus"
"222",11,10,2,0.5,9201867,2,"Scrophularia nodosa"
"223",11,10,5,0.5,9202126,2,"Urtica dioica"
"224",11,10,4,0.5,9202168,2,"Veronica chamaedrys"
"225",11,11,5,0.5,920513,2,"Circaea lutetiana"
"226",11,11,NA,NA,920569,2,"Crataegus monogyna"
"227",11,11,2,0.5,920569,2,"Crataegus monogyna"
"228",11,11,NA,NA,920570,2,"Crataegus laevigata"
"229",11,11,NA,NA,920841,2,"Fraxinus excelsior (c)"
"230",11,11,1,0.5,920841,2,"Fraxinus excelsior (c)"
"231",11,11,5,0.5,920873,2,"Galium aparine"
"232",11,11,1,10,200001593,2,"Poa nemoralis/trivialis"
"233",11,11,1,90,9201728,2,"Rubus fruticosus agg."
"234",11,11,1,1,9201753,2,"Rumex sanguineus"
"235",11,11,5,1,9202126,2,"Urtica dioica"
"236",11,11,5,0.5,9202168,2,"Veronica chamaedrys"
"237",11,12,NA,NA,9203,2,"Acer campestre"
"238",11,12,1,0.5,910665,2,"Dryopteris filix-mas"
"239",11,12,5,0.5,920176,2,"Arum maculatum"
"240",11,12,4,0.5,920250,2,"Brachypodium sylvaticum"
"241",11,12,2,0.5,2000070,2,"Cardamine hirsuta/flexuosa"
"242",11,12,4,0.5,920412,2,"Carex remota"
"243",11,12,2,0.5,920421,2,"Carex sylvatica"
"244",11,12,2,0.5,920513,2,"Circaea lutetiana"
"245",11,12,NA,NA,920557,2,"Corylus avellana"
"246",11,12,3,0.5,920627,2,"Deschampsia cespitosa"
"247",11,12,1,0.5,920833,2,"Filipendula ulmaria"
"248",11,12,2,0.5,920838,2,"Fragaria vesca"
"249",11,12,NA,NA,920841,2,"Fraxinus excelsior (c)"
"250",11,12,1,0.5,920841,2,"Fraxinus excelsior (c)"
"251",11,12,4,0.5,920873,2,"Galium aparine"
"252",11,12,3,0.5,920984,2,"Holcus mollis"
"253",11,12,1,25,9201291,2,"Mercurialis perennis"
"254",11,12,3,0.5,9201296,2,"Milium effusum"
"255",11,12,1,20,200001593,2,"Poa nemoralis/trivialis"
"256",11,12,3,0.5,9201607,2,"Primula vulgaris"
"257",11,12,4,0.5,9201649,2,"Ranunculus ficaria"
"258",11,12,1,75,9201728,2,"Rubus fruticosus agg."
"259",11,12,1,1,9201753,2,"Rumex sanguineus"
"260",11,12,5,0.5,9201899,2,"Senecio jacobaea"
"261",11,12,1,1,9202126,2,"Urtica dioica"
"262",11,12,1,0.5,9202168,2,"Veronica chamaedrys"
"263",11,12,NA,NA,9204446,2,"Quercus seedling/sp"
"264",11,12,5,0.5,9204530,2,"Epilobium sp."
"265",11,12,3,0.5,9204837,2,"Crataegus sp."
"266",11,12,3,0.5,200001583,2,"Dryopteris dilatata/carthusiana"
"267",11,13,1,1,910665,2,"Dryopteris filix-mas"
"268",11,13,4,0.5,920250,2,"Brachypodium sylvaticum"
"269",11,13,2,0.5,920513,2,"Circaea lutetiana"
"270",11,13,NA,NA,920557,2,"Corylus avellana"
"271",11,13,5,0.5,920627,2,"Deschampsia cespitosa"
"272",11,13,5,0.5,920687,2,"Hyacinthoides non-scripta"
"273",11,13,NA,NA,920841,2,"Fraxinus excelsior (c)"
"274",11,13,3,0.5,920841,2,"Fraxinus excelsior (c)"
"275",11,13,1,10,920984,2,"Holcus mollis"
"276",11,13,3,0.5,9201070,2,"Juncus inflexus"
"277",11,13,1,5,9201291,2,"Mercurialis perennis"
"278",11,13,5,0.5,9201296,2,"Milium effusum"
"279",11,13,1,1,200001593,2,"Poa nemoralis/trivialis"
"280",11,13,3,0.5,9201649,2,"Ranunculus ficaria"
"281",11,13,1,90,9201728,2,"Rubus fruticosus agg."
"282",11,13,1,0.5,9201753,2,"Rumex sanguineus"
"283",11,13,2,0.5,9202126,2,"Urtica dioica"
"284",11,13,1,0.5,9202168,2,"Veronica chamaedrys"
"285",11,14,1,0.5,92046,2,"Ajuga reptans"
"286",11,14,1,0.5,920412,2,"Carex remota"
"287",11,14,3,0.5,920421,2,"Carex sylvatica"
"288",11,14,2,0.5,920481,2,"Chenopodium album agg."
"289",11,14,2,0.5,920513,2,"Circaea lutetiana"
"290",11,14,NA,NA,920557,2,"Corylus avellana"
"291",11,14,2,0.5,920557,2,"Corylus avellana"
"292",11,14,2,1,920627,2,"Deschampsia cespitosa"
"293",11,14,NA,NA,920841,2,"Fraxinus excelsior (c)"
"294",11,14,1,0.5,920841,2,"Fraxinus excelsior (c)"
"295",11,14,2,0.5,920984,2,"Holcus mollis"
"296",11,14,5,0.5,2000070,2,"Cardamine hirsuta/flexuosa"
"297",11,14,1,1,9201067,2,"Juncus effusus"
"298",11,14,3,0.5,9201296,2,"Milium effusum"
"299",11,14,1,5,200001593,2,"Poa nemoralis/trivialis"
"300",11,14,1,40,9201728,2,"Rubus fruticosus agg."
"301",11,14,5,0.5,9201753,2,"Rumex sanguineus"
"302",11,14,3,0.5,9201899,2,"Senecio jacobaea"
"303",11,14,2,0.5,9202249,2,"Callitriche seedling/sp"
"304",11,14,NA,NA,9204446,2,"Quercus seedling/sp"
"305",11,14,1,0.5,9204837,2,"Crataegus sp."
"306",11,14,1,0.5,200001478,2,"Juncus bufonius/bulbosus"
"307",11,14,4,0.5,200001583,2,"Dryopteris dilatata/carthusiana"
"308",11,15,4,0.5,910665,2,"Dryopteris filix-mas"
"309",11,15,1,0.5,920481,2,"Chenopodium album agg."
"310",11,15,4,0.5,920513,2,"Circaea lutetiana"
"311",11,15,1,1,920627,2,"Deschampsia cespitosa"
"312",11,15,2,0.5,9201058,2,"Juncus bulbosus"
"313",11,15,1,1,9201067,2,"Juncus effusus"
"314",11,15,1,10,9201296,2,"Milium effusum"
"315",11,15,1,1,200001593,2,"Poa nemoralis/trivialis"
"316",11,15,1,90,9201728,2,"Rubus fruticosus agg."
"317",11,15,1,0.5,9201753,2,"Rumex sanguineus"
"318",11,15,1,0.5,9202012,2,"Stellaria media"
"319",11,15,1,0.5,9202249,2,"Callitriche seedling/sp"
"320",11,15,NA,NA,9204445,2,"Betula seedling/sp"
"321",11,15,NA,NA,9204446,2,"Quercus seedling/sp"
"322",11,16,5,0.5,92039,2,"Agrostis stolonifera"
"323",11,16,3,0.5,910662,2,"Dryopteris affinis"
"324",11,16,1,0.5,910665,2,"Dryopteris filix-mas"
"325",11,16,1,1,920250,2,"Brachypodium sylvaticum"
"326",11,16,1,5,920412,2,"Carex remota"
"327",11,16,2,0.5,920513,2,"Circaea lutetiana"
"328",11,16,NA,NA,920557,2,"Corylus avellana"
"329",11,16,2,0.5,920627,2,"Deschampsia cespitosa"
"330",11,16,3,0.5,920833,2,"Filipendula ulmaria"
"331",11,16,NA,NA,920841,2,"Fraxinus excelsior (c)"
"332",11,16,4,0.5,920882,2,"Galium palustre"
"333",11,16,1,5,9201291,2,"Mercurialis perennis"
"334",11,16,2,0.5,200001593,2,"Poa nemoralis/trivialis"
"335",11,16,NA,NA,9201617,2,"Prunus spinosa"
"336",11,16,2,0.5,9201649,2,"Ranunculus ficaria"
"337",11,16,2,0.5,9201696,2,"Ribes rubrum"
"338",11,16,1,60,9201728,2,"Rubus fruticosus agg."
"339",11,16,2,0.5,9201753,2,"Rumex sanguineus"
"340",11,16,4,0.5,9202168,2,"Veronica chamaedrys"
"341",11,16,3,0.5,200001583,2,"Dryopteris dilatata/carthusiana"
