"","coefs","index","count","overall","flag"
"Juncus articulatus/acutiflora",2.1,32,8,16.8,2
"Rubus fruticosus agg.",-0.0893939026098798,1,2280,-203.818097950526,2
"Hedera helix",-0.0437852069902651,2,559,-24.4759307075582,2
"Vaccinium myrtillus",-0.0990219814003536,3,113,-11.18948389824,2
"Calluna vulgaris",-0.028639706858554,4,112,-3.20764716815805,2
"Corylus avellana",-0.2,5,10,-2,2
"Rhododendron ponticum",0.6,6,15,9.00000000000001,2
"Acer pseudoplatanus",-0.028813637025233,1,223,-6.42544105662695,2
"Alnus glutinosa",-0.16064019662346,2,38,-6.10432747169148,2
"Sorbus torminalis",-1.99999999999999,3,3,-5.99999999999996,2
"Ilex aquifolium",-0.0436647248157133,4,110,-4.80311972972846,2
"Salix seedling/sp",-0.0988624713176783,5,46,-4.5476736806132,2
"Betula seedling/sp",-0.0149784206980238,6,284,-4.25387147823876,2
"Salix viminalis",-1.83333333333333,7,2,-3.66666666666667,2
"Cytisus scoparius",-0.541782729805014,8,6,-3.25069637883008,2
"Pinus nigra",-0.8,9,4,-3.2,2
"Crataegus monogyna",-0.0213549497919203,10,142,-3.03240287045268,2
"Ulmus procera",-0.235071464888989,11,10,-2.35071464888989,2
"Rhamnus cathartica",-0.268368320610687,12,7,-1.87857824427481,2
"Picea sitchensis",-0.210374639769452,13,8,-1.68299711815562,2
"Salix aurita",-0.166666666666666,14,6,-0.999999999999998,2
"Malus sylvestris",-0.461538461538462,15,2,-0.923076923076924,2
"Carpinus betulus",-0.0265593561368209,16,28,-0.743661971830986,2
"Fagus sylvatica",-0.0142866384971476,17,52,-0.742905201851674,2
"Ulmus minor (c)",-0.172506738544474,18,4,-0.690026954177898,2
"Populus tremula",-0.194444444444444,19,3,-0.583333333333331,2
"Fraxinus excelsior (c)",-0.00152211582589235,20,335,-0.509908801673937,2
"Prunus padus",-0.0561915887850468,21,9,-0.505724299065421,2
"Salix caprea",-0.0316935257260327,22,10,-0.316935257260327,2
"Prunus spinosa",-0.00482480624376902,23,44,-0.212291474725837,2
"Juniperus communis",-0.00776779110055671,24,25,-0.194194777513918,2
"Viburnum lantana",-0.0278767123287671,25,6,-0.167260273972603,2
"Prunus sp.",-0.0555555555555555,26,2,-0.111111111111111,2
"Pinus sp./seedling",-0.00212378640776699,27,5,-0.010618932038835,2
"Tilia cordata",1.28828099174053e-16,28,2,2.57656198348107e-16,2
"Sambucus racemosa",1.62074060251228e-16,29,2,3.24148120502457e-16,2
"Rhododendron spp.",0.00822904896923701,30,12,0.0987485876308442,2
"Quercus seedling/sp",0.00228136882129265,31,105,0.239543726235728,2
"Pinus sylvestris",0.0194021398980717,32,15,0.291032098471076,2
"Salix cinerea",0.0337659109872358,33,11,0.371425020859593,2
"Castanea sativa",0.0119222335276089,34,35,0.41727817346631,2
"Ligustrum vulgare",0.0399305555555555,35,12,0.479166666666666,2
"Viburnum opulus",0.0680492546986389,36,8,0.544394037589111,2
"Sambucus nigra",0.00783117042473255,37,116,0.908415769268976,2
"Ulmus glabra",0.0561875791250527,38,19,1.067564003376,2
"Taxus baccata",0.137755102040816,39,8,1.10204081632653,2
"Euonymus europaeus",0.0713734059185865,40,16,1.14197449469738,2
"Cornus sanguinea",0.0505869092039801,41,27,1.36584654850746,2
"Prunus laurocerasus",0.0861041688443739,42,18,1.54987503919873,2
"Picea abies",0.23170902963067,43,10,2.3170902963067,2
"Larix sp.",0.139022261021388,44,17,2.36337843736359,2
"Rhododendron ponticum1",0.0525187435006531,45,48,2.52089968803135,2
"Prunus avium",0.267779204107831,46,10,2.67779204107831,2
"Ulex sp./seedling",0.682628062360801,47,4,2.73051224944321,2
"Tilia sp.",0.475231820400195,48,7,3.32662274280137,2
"Salix herbacea",2.5,49,2,5,2
"Rosa seedling/sp",0.385660300275764,50,16,6.17056480441222,2
"Ulmus sp.",0.0585689613409861,51,129,7.55539601298721,2
"Sorbus aucuparia",0.105554911155667,52,76,8.02217324783067,2
"Acer campestre",0.135876441456097,53,64,8.69609225319019,2
"Corylus avellana1",0.0067431573051107,54,1369,9.23138235069655,2
