Unnamed: 0,Site,Plot,Yr,Amalgams_x,species_x,cover_x,Amalgams_y,species_y,cover_y,alpha_x,percentamtree_x,percentinvtree_x,herbcover_x,percentamshrub_x,percentinvshrub_x,percentinvherb_x,lba_x,som_x,pH_x,shortcodes_x,alpha_y,percentamtree_y,percentinvtree_y,herbcover_y,percentamshrub_y,percentinvshrub_y,percentinvherb_y,lba_y,som_y,pH_y,shortcodes_y
10,1,5,2,9101619.0,Pteridium aquilinum,0.5,9201728.0,Rubus fruticosus agg.,5.0,16.0,0.6901408450704225,,98.0,1.0,0.7857142857142857,0.005102040816326529,1.462804079,8.4,4.5,W10,16.0,0.6901408450704225,,98.0,1.0,0.7857142857142857,0.00510204081632653,1.462804079,8.4,4.5,W10
11,1,6,2,9101619.0,Pteridium aquilinum,60.0,9201023.0,Ilex aquifolium,0.5,19.0,,,100.5,0.8333333333333334,0.5,0.5970149253731343,1.502073987,42.2,4.1,W10,19.0,,,100.5,0.8333333333333334,0.5,0.5970149253731343,1.502073987,42.2,4.1,W10
12,1,6,2,9101619.0,Pteridium aquilinum,60.0,9201728.0,Rubus fruticosus agg.,1.0,19.0,,,100.5,0.8333333333333334,0.5,0.5970149253731343,1.502073987,42.2,4.1,W10,19.0,,,100.5,0.8333333333333334,0.5,0.5970149253731343,1.502073987,42.2,4.1,W10
13,1,7,1,9101619.0,Pteridium aquilinum,10.0,9201023.0,Ilex aquifolium,0.5,10.0,,,109.5,0.9761904761904762,0.5,0.09132420091324199,0.714712329,9.956,4.3,W10,10.0,,,109.5,0.9761904761904762,0.5,0.091324200913242,0.714712329,9.956,4.3,W10
14,1,7,1,9101619.0,Pteridium aquilinum,10.0,9201728.0,Rubus fruticosus agg.,10.0,10.0,,,109.5,0.9761904761904762,0.5,0.09132420091324199,0.714712329,9.956,4.3,W10,10.0,,,109.5,0.9761904761904762,0.5,0.091324200913242,0.714712329,9.956,4.3,W10
15,1,7,2,9101619.0,Pteridium aquilinum,30.0,9201023.0,Ilex aquifolium,0.5,25.0,,,82.5,0.2307692307692308,0.15384615384615385,0.3636363636363637,1.315541924,14.7,4.2,W10,25.0,,,82.5,0.23076923076923078,0.15384615384615385,0.36363636363636365,1.3155419240000001,14.7,4.2,W10
16,1,7,2,9101619.0,Pteridium aquilinum,30.0,9201728.0,Rubus fruticosus agg.,0.5,25.0,,,82.5,0.2307692307692308,0.15384615384615385,0.3636363636363637,1.315541924,14.7,4.2,W10,25.0,,,82.5,0.23076923076923078,0.15384615384615385,0.36363636363636365,1.3155419240000001,14.7,4.2,W10
17,1,8,1,9101619.0,Pteridium aquilinum,75.0,9201728.0,Rubus fruticosus agg.,5.0,6.0,,,132.5,1.0,0.5,0.5660377358490566,1.1545353,7.474,4.1,W10,6.0,,,132.5,1.0,0.5,0.5660377358490566,1.1545353,7.474,4.1,W10
18,1,9,1,9101619.0,Pteridium aquilinum,5.0,9201728.0,Rubus fruticosus agg.,5.0,15.0,0.03870967741935484,,126.5,1.0,0.7692307692307693,0.03952569169960474,0.520326283,4.453,4.8,W10,15.0,0.03870967741935484,,126.5,1.0,0.7692307692307693,0.039525691699604744,0.520326283,4.453,4.8,W10
19,1,10,1,9101619.0,Pteridium aquilinum,15.0,9201728.0,Rubus fruticosus agg.,15.0,16.0,,0.01990049751243781,97.0,0.975609756097561,0.7317073170731707,0.15463917525773194,1.10348442,5.329,4.5,W10,16.0,,0.01990049751243781,97.0,0.975609756097561,0.7317073170731707,0.15463917525773196,1.10348442,5.329,4.5,W10
20,1,11,1,9101619.0,Pteridium aquilinum,5.0,9201728.0,Rubus fruticosus agg.,10.0,9.0,,,104.5,1.0,0.9090909090909092,0.04784688995215311,0.901244392,6.621,4.4,W10,9.0,,,104.5,1.0,0.9090909090909091,0.04784688995215311,0.9012443920000001,6.621,4.4,W10
21,1,11,2,9101619.0,Pteridium aquilinum,0.5,9201728.0,Rubus fruticosus agg.,0.5,18.0,,,18.5,0.6666666666666666,0.16666666666666666,0.027027027027027032,0.675442421,27.1,4.2,W10,18.0,,,18.5,0.6666666666666666,0.16666666666666666,0.02702702702702703,0.675442421,27.1,4.2,W10
22,1,12,1,9101619.0,Pteridium aquilinum,25.0,9201728.0,Rubus fruticosus agg.,5.0,12.0,,0.1340782122905028,130.0,0.9285714285714286,0.7142857142857143,0.19230769230769232,0.600829595,7.745,3.9,W10,12.0,,0.1340782122905028,130.0,0.9285714285714286,0.7142857142857143,0.19230769230769232,0.600829595,7.745,3.9,W10
23,1,13,1,9101619.0,Pteridium aquilinum,5.0,9201728.0,Rubus fruticosus agg.,10.0,10.0,,,101.0,1.0,0.9090909090909092,0.049504950495049514,0.50461832,6.3610000000000015,4.2,W10,10.0,,,101.0,1.0,0.9090909090909091,0.04950495049504951,0.50461832,6.361000000000001,4.2,W10
24,1,14,2,9101619.0,Pteridium aquilinum,0.5,9201728.0,Rubus fruticosus agg.,0.5,14.0,,,63.5,0.5714285714285714,0.14285714285714285,0.007874015748031496,1.5747233180000002,20.0,4.1,W10,14.0,,,63.5,0.5714285714285714,0.14285714285714285,0.007874015748031496,1.5747233180000002,20.0,4.1,W10
25,1,15,2,9101619.0,Pteridium aquilinum,20.0,9201023.0,Ilex aquifolium,0.5,13.0,,,76.5,0.6666666666666666,0.3333333333333333,0.26143790849673204,1.6238107030000002,35.5,4.0,W10,13.0,,,76.5,0.6666666666666666,0.3333333333333333,0.26143790849673204,1.6238107030000002,35.5,4.0,W10
26,1,15,2,9101619.0,Pteridium aquilinum,20.0,9201728.0,Rubus fruticosus agg.,0.5,13.0,,,76.5,0.6666666666666666,0.3333333333333333,0.26143790849673204,1.6238107030000002,35.5,4.0,W10,13.0,,,76.5,0.6666666666666666,0.3333333333333333,0.26143790849673204,1.6238107030000002,35.5,4.0,W10
27,1,16,1,9101619.0,Pteridium aquilinum,30.0,9201728.0,Rubus fruticosus agg.,15.0,12.0,,0.17543859649122806,124.0,1.0,0.967741935483871,0.2419354838709677,0.6774059159999999,6.8020000000000005,4.3,W10,12.0,,0.17543859649122806,124.0,1.0,0.967741935483871,0.24193548387096775,0.6774059159999999,6.8020000000000005,4.3,W10
28,1,16,2,9101619.0,Pteridium aquilinum,0.5,,,,9.0,0.08035714285714286,0.03571428571428571,89.0,1.0,,0.005617977528089888,0.6459899889999999,12.2,4.3,W21,9.0,0.08035714285714286,0.03571428571428571,89.0,1.0,,0.0056179775280898875,0.6459899889999999,12.2,4.3,W21
29,2,1,2,9101619.0,Pteridium aquilinum,0.5,9201023.0,Ilex aquifolium,0.5,20.0,,,16.0,0.9285714285714286,0.75,0.03125,1.280199006,6.7,5.0,W10,20.0,,,16.0,0.9285714285714286,0.75,0.03125,1.280199006,6.7,5.0,W10
30,2,1,2,9101619.0,Pteridium aquilinum,0.5,9201728.0,Rubus fruticosus agg.,10.0,20.0,,,16.0,0.9285714285714286,0.75,0.03125,1.280199006,6.7,5.0,W10,20.0,,,16.0,0.9285714285714286,0.75,0.03125,1.280199006,6.7,5.0,W10
31,2,2,2,9101619.0,Pteridium aquilinum,10.0,9201023.0,Ilex aquifolium,0.5,8.0,0.06779661016949153,,48.0,0.9714285714285714,0.6,0.20833333333333331,1.5217089419999998,12.9,4.2,W10,8.0,0.06779661016949153,,48.0,0.9714285714285714,0.6,0.20833333333333334,1.5217089419999998,12.9,4.2,W10
32,2,2,2,9101619.0,Pteridium aquilinum,10.0,9201728.0,Rubus fruticosus agg.,10.0,8.0,0.06779661016949153,,48.0,0.9714285714285714,0.6,0.20833333333333331,1.5217089419999998,12.9,4.2,W10,8.0,0.06779661016949153,,48.0,0.9714285714285714,0.6,0.20833333333333334,1.5217089419999998,12.9,4.2,W10
33,2,4,1,9101619.0,Pteridium aquilinum,1.0,9201728.0,Rubus fruticosus agg.,30.0,34.0,0.1773049645390071,,28.0,0.976470588235294,0.7058823529411765,0.03571428571428571,0.549778714,5.247000000000001,4.6,W10,34.0,0.1773049645390071,,28.0,0.9764705882352941,0.7058823529411765,0.03571428571428571,0.549778714,5.247000000000001,4.6,W10
34,2,5,1,9101619.0,Pteridium aquilinum,25.0,9201023.0,Ilex aquifolium,1.0,3.0,0.06493506493506493,0.06493506493506493,26.0,0.9787234042553192,0.8936170212765957,0.9615384615384616,1.682715565,7.949,3.6,W16,3.0,0.06493506493506493,0.06493506493506493,26.0,0.9787234042553191,0.8936170212765957,0.9615384615384616,1.682715565,7.949,3.6,W16
35,2,5,1,9101619.0,Pteridium aquilinum,25.0,9201728.0,Rubus fruticosus agg.,20.0,3.0,0.06493506493506493,0.06493506493506493,26.0,0.9787234042553192,0.8936170212765957,0.9615384615384616,1.682715565,7.949,3.6,W16,3.0,0.06493506493506493,0.06493506493506493,26.0,0.9787234042553191,0.8936170212765957,0.9615384615384616,1.682715565,7.949,3.6,W16
36,2,5,2,9101619.0,Pteridium aquilinum,15.0,9201023.0,Ilex aquifolium,1.0,2.0,,,16.0,0.6,0.4,0.9375,0.4908738520000001,10.4,4.3,W10,2.0,,,16.0,0.6,0.4,0.9375,0.49087385200000005,10.4,4.3,W10
37,2,6,2,9101619.0,Pteridium aquilinum,20.0,9201023.0,Ilex aquifolium,1.0,27.0,0.2368421052631579,0.2368421052631579,41.0,0.925,0.8,0.4878048780487805,1.694496538,5.9,8.5,W10,27.0,0.23684210526315788,0.23684210526315788,41.0,0.925,0.8,0.4878048780487805,1.694496538,5.9,8.5,W10
38,2,6,2,9101619.0,Pteridium aquilinum,20.0,9201728.0,Rubus fruticosus agg.,15.0,27.0,0.2368421052631579,0.2368421052631579,41.0,0.925,0.8,0.4878048780487805,1.694496538,5.9,8.5,W10,27.0,0.23684210526315788,0.23684210526315788,41.0,0.925,0.8,0.4878048780487805,1.694496538,5.9,8.5,W10
39,2,9,1,9101619.0,Pteridium aquilinum,80.0,9201728.0,Rubus fruticosus agg.,1.0,3.0,0.06382978723404255,,81.5,0.42857142857142855,0.2857142857142857,0.98159509202454,0.078539816,16.877,3.8,W16,3.0,0.06382978723404255,,81.5,0.42857142857142855,0.2857142857142857,0.9815950920245399,0.078539816,16.877,3.8,W16
40,2,9,2,9101619.0,Pteridium aquilinum,10.0,9201023.0,Ilex aquifolium,1.0,1.0,0.16230366492146595,0.16230366492146595,10.0,0.75,0.75,1.0,2.326742059,17.7,4.1,W15,1.0,0.16230366492146597,0.16230366492146597,10.0,0.75,0.75,1.0,2.326742059,17.7,4.1,W15
41,2,9,2,9101619.0,Pteridium aquilinum,10.0,9201728.0,Rubus fruticosus agg.,0.5,1.0,0.16230366492146595,0.16230366492146595,10.0,0.75,0.75,1.0,2.326742059,17.7,4.1,W15,1.0,0.16230366492146597,0.16230366492146597,10.0,0.75,0.75,1.0,2.326742059,17.7,4.1,W15
42,2,10,1,9101619.0,Pteridium aquilinum,15.0,9201728.0,Rubus fruticosus agg.,5.0,2.0,,,15.5,0.9574468085106383,0.10638297872340426,0.967741935483871,0.045160394000000006,12.358,3.8,W16,2.0,,,15.5,0.9574468085106383,0.10638297872340426,0.967741935483871,0.045160394000000006,12.357999999999999,3.8,W16
43,2,10,2,9101619.0,Pteridium aquilinum,5.0,9201023.0,Ilex aquifolium,0.5,3.0,0.012618296529968454,,6.5,1.0,0.5,0.7692307692307693,0.255254403,11.2,4.4,W16,3.0,0.012618296529968454,,6.5,1.0,0.5,0.7692307692307693,0.255254403,11.2,4.4,W16
44,2,10,2,9101619.0,Pteridium aquilinum,5.0,9201728.0,Rubus fruticosus agg.,0.5,3.0,0.012618296529968454,,6.5,1.0,0.5,0.7692307692307693,0.255254403,11.2,4.4,W16,3.0,0.012618296529968454,,6.5,1.0,0.5,0.7692307692307693,0.255254403,11.2,4.4,W16
45,2,11,1,9101619.0,Pteridium aquilinum,40.0,9201023.0,Ilex aquifolium,0.5,4.0,0.052980132450331126,,42.5,1.0,0.8461538461538461,0.9411764705882352,1.301797456,12.878,3.6,W16,4.0,0.052980132450331126,,42.5,1.0,0.8461538461538461,0.9411764705882353,1.3017974559999999,12.878,3.6,W16
46,2,11,1,9101619.0,Pteridium aquilinum,40.0,9201728.0,Rubus fruticosus agg.,60.0,4.0,0.052980132450331126,,42.5,1.0,0.8461538461538461,0.9411764705882352,1.301797456,12.878,3.6,W16,4.0,0.052980132450331126,,42.5,1.0,0.8461538461538461,0.9411764705882353,1.3017974559999999,12.878,3.6,W16
47,2,11,2,9101619.0,Pteridium aquilinum,1.0,9201023.0,Ilex aquifolium,0.5,16.0,0.37446808510638296,0.3404255319148936,19.5,0.7,0.4,0.05128205128205128,0.746128255,17.2,4.5,W10,16.0,0.37446808510638296,0.3404255319148936,19.5,0.7,0.4,0.05128205128205128,0.746128255,17.2,4.5,W10
48,2,11,2,9101619.0,Pteridium aquilinum,1.0,9201728.0,Rubus fruticosus agg.,0.5,16.0,0.37446808510638296,0.3404255319148936,19.5,0.7,0.4,0.05128205128205128,0.746128255,17.2,4.5,W10,16.0,0.37446808510638296,0.3404255319148936,19.5,0.7,0.4,0.05128205128205128,0.746128255,17.2,4.5,W10
49,2,11,2,9101619.0,Pteridium aquilinum,1.0,9201815.0,Sambucus nigra,1.0,16.0,0.37446808510638296,0.3404255319148936,19.5,0.7,0.4,0.05128205128205128,0.746128255,17.2,4.5,W10,16.0,0.37446808510638296,0.3404255319148936,19.5,0.7,0.4,0.05128205128205128,0.746128255,17.2,4.5,W10
50,2,12,1,9101619.0,Pteridium aquilinum,0.5,9201023.0,Ilex aquifolium,0.5,9.0,,,5.0,0.9848484848484848,0.9242424242424242,0.1,1.712167996,10.942,3.5,W10,9.0,,,5.0,0.9848484848484849,0.9242424242424242,0.1,1.712167996,10.942,3.5,W10
51,2,12,1,9101619.0,Pteridium aquilinum,0.5,9201728.0,Rubus fruticosus agg.,30.0,9.0,,,5.0,0.9848484848484848,0.9242424242424242,0.1,1.712167996,10.942,3.5,W10,9.0,,,5.0,0.9848484848484849,0.9242424242424242,0.1,1.712167996,10.942,3.5,W10
52,2,12,2,9101619.0,Pteridium aquilinum,5.0,9201023.0,Ilex aquifolium,0.5,24.0,0.04,0.05333333333333334,59.0,0.5,0.5,0.0847457627118644,2.238384766,12.6,5.3,W10,24.0,0.04,0.05333333333333334,59.0,0.5,0.5,0.0847457627118644,2.238384766,12.6,5.3,W10
53,2,12,2,9101619.0,Pteridium aquilinum,5.0,9201728.0,Rubus fruticosus agg.,0.5,24.0,0.04,0.05333333333333334,59.0,0.5,0.5,0.0847457627118644,2.238384766,12.6,5.3,W10,24.0,0.04,0.05333333333333334,59.0,0.5,0.5,0.0847457627118644,2.238384766,12.6,5.3,W10
54,2,12,2,9101619.0,Pteridium aquilinum,5.0,9201815.0,Sambucus nigra,1.0,24.0,0.04,0.05333333333333334,59.0,0.5,0.5,0.0847457627118644,2.238384766,12.6,5.3,W10,24.0,0.04,0.05333333333333334,59.0,0.5,0.5,0.0847457627118644,2.238384766,12.6,5.3,W10
55,2,13,1,9101619.0,Pteridium aquilinum,85.0,9201023.0,Ilex aquifolium,0.5,6.0,,0.032786885245901634,92.5,0.9166666666666666,0.08333333333333333,0.9189189189189191,3.603014075,35.925,3.5,W16,6.0,,0.03278688524590164,92.5,0.9166666666666666,0.08333333333333333,0.918918918918919,3.603014075,35.925,3.5,W16
56,2,13,2,9101619.0,Pteridium aquilinum,5.0,9201728.0,Rubus fruticosus agg.,1.0,,,,,,,,,,,,,,,,,,,,,,
57,2,14,1,9101619.0,Pteridium aquilinum,60.0,9201023.0,Ilex aquifolium,0.5,1.0,0.27472527472527475,0.27472527472527475,60.0,1.0,0.875,1.0,2.311034096,8.64,3.6,W16,1.0,0.27472527472527475,0.27472527472527475,60.0,1.0,0.875,1.0,2.3110340959999998,8.64,3.6,W16
58,2,14,1,9101619.0,Pteridium aquilinum,60.0,9201728.0,Rubus fruticosus agg.,10.0,1.0,0.27472527472527475,0.27472527472527475,60.0,1.0,0.875,1.0,2.311034096,8.64,3.6,W16,1.0,0.27472527472527475,0.27472527472527475,60.0,1.0,0.875,1.0,2.3110340959999998,8.64,3.6,W16
59,2,14,2,9101619.0,Pteridium aquilinum,40.0,9201023.0,Ilex aquifolium,0.5,20.0,0.3103448275862069,,115.0,0.5,0.375,0.3478260869565217,2.051852702,20.2,4.3,W10,20.0,0.3103448275862069,,115.0,0.5,0.375,0.34782608695652173,2.0518527019999997,20.2,4.3,W10
60,2,14,2,9101619.0,Pteridium aquilinum,40.0,9201728.0,Rubus fruticosus agg.,0.5,20.0,0.3103448275862069,,115.0,0.5,0.375,0.3478260869565217,2.051852702,20.2,4.3,W10,20.0,0.3103448275862069,,115.0,0.5,0.375,0.34782608695652173,2.0518527019999997,20.2,4.3,W10
61,2,14,2,9101619.0,Pteridium aquilinum,40.0,9201815.0,Sambucus nigra,0.5,20.0,0.3103448275862069,,115.0,0.5,0.375,0.3478260869565217,2.051852702,20.2,4.3,W10,20.0,0.3103448275862069,,115.0,0.5,0.375,0.34782608695652173,2.0518527019999997,20.2,4.3,W10
62,2,15,1,9101619.0,Pteridium aquilinum,0.5,9201023.0,Ilex aquifolium,0.5,12.0,0.23728813559322035,0.23728813559322035,10.0,0.5925925925925926,0.4074074074074074,0.05,3.638356992,5.4510000000000005,4.0,W10,12.0,0.23728813559322035,0.23728813559322035,10.0,0.5925925925925926,0.4074074074074074,0.05,3.638356992,5.4510000000000005,4.0,W10
63,2,15,1,9101619.0,Pteridium aquilinum,0.5,9201728.0,Rubus fruticosus agg.,5.0,12.0,0.23728813559322035,0.23728813559322035,10.0,0.5925925925925926,0.4074074074074074,0.05,3.638356992,5.4510000000000005,4.0,W10,12.0,0.23728813559322035,0.23728813559322035,10.0,0.5925925925925926,0.4074074074074074,0.05,3.638356992,5.4510000000000005,4.0,W10
64,2,15,2,9101619.0,Pteridium aquilinum,5.0,9201023.0,Ilex aquifolium,0.5,2.0,,0.12093023255813952,5.5,1.0,1.0,0.9090909090909092,0.206167018,7.8,4.4,W10,2.0,,0.12093023255813953,5.5,1.0,1.0,0.9090909090909091,0.206167018,7.8,4.4,W10
65,2,15,2,9101619.0,Pteridium aquilinum,5.0,9201728.0,Rubus fruticosus agg.,0.5,2.0,,0.12093023255813952,5.5,1.0,1.0,0.9090909090909092,0.206167018,7.8,4.4,W10,2.0,,0.12093023255813953,5.5,1.0,1.0,0.9090909090909091,0.206167018,7.8,4.4,W10
66,2,16,1,9101619.0,Pteridium aquilinum,1.0,9201728.0,Rubus fruticosus agg.,1.0,1.0,0.047619047619047616,,1.0,0.8333333333333334,0.3333333333333333,1.0,0.190459055,8.907,4.0,W16,1.0,0.047619047619047616,,1.0,0.8333333333333334,0.3333333333333333,1.0,0.190459055,8.907,4.0,W16
67,2,16,2,9101619.0,Pteridium aquilinum,15.0,9201023.0,Ilex aquifolium,1.0,3.0,,,16.0,0.988095238095238,0.988095238095238,0.9375,1.663080611,14.5,4.2,W16,3.0,,,16.0,0.9880952380952381,0.9880952380952381,0.9375,1.663080611,14.5,4.2,W16
68,2,16,2,9101619.0,Pteridium aquilinum,15.0,9201687.0,Rhododendron ponticum,0.5,3.0,,,16.0,0.988095238095238,0.988095238095238,0.9375,1.663080611,14.5,4.2,W16,3.0,,,16.0,0.9880952380952381,0.9880952380952381,0.9375,1.663080611,14.5,4.2,W16
69,2,16,2,9101619.0,Pteridium aquilinum,15.0,9201728.0,Rubus fruticosus agg.,40.0,3.0,,,16.0,0.988095238095238,0.988095238095238,0.9375,1.663080611,14.5,4.2,W16,3.0,,,16.0,0.9880952380952381,0.9880952380952381,0.9375,1.663080611,14.5,4.2,W16
70,3,1,1,9101619.0,Pteridium aquilinum,80.0,9201728.0,Rubus fruticosus agg.,10.0,16.0,0.9718309859154929,,93.5,0.96,0.84,0.8556149732620321,0.106028752,11.807,4.8,W10,16.0,0.971830985915493,,93.5,0.96,0.84,0.8556149732620321,0.10602875199999999,11.807,4.8,W10
71,3,1,1,9101619.0,Pteridium aquilinum,80.0,9201815.0,Sambucus nigra,0.5,16.0,0.9718309859154929,,93.5,0.96,0.84,0.8556149732620321,0.106028752,11.807,4.8,W10,16.0,0.971830985915493,,93.5,0.96,0.84,0.8556149732620321,0.10602875199999999,11.807,4.8,W10
72,3,1,2,9101619.0,Pteridium aquilinum,0.5,,,,4.0,1.0,,2.5,1.0,,0.2,0.8855364290000001,7.629428,5.472,OV27,4.0,1.0,,2.5,1.0,,0.2,0.8855364290000001,7.629428,5.472,OV27
73,3,2,1,9101619.0,Pteridium aquilinum,5.0,9201728.0,Rubus fruticosus agg.,70.0,,,,,,,,,,,,,,,,,,,,,,
74,3,2,2,9101619.0,Pteridium aquilinum,0.5,9201023.0,Ilex aquifolium,0.5,22.0,0.95,,62.5,1.0,0.3333333333333333,0.008,0.720602815,7.686926,5.505,OV27,22.0,0.95,,62.5,1.0,0.3333333333333333,0.008,0.720602815,7.686926,5.505,OV27
75,3,3,1,9101619.0,Pteridium aquilinum,100.0,9201728.0,Rubus fruticosus agg.,1.0,8.0,1.0,,104.0,0.8333333333333334,0.3333333333333333,0.9615384615384616,0.017671459,33.773,4.6,W10,8.0,1.0,,104.0,0.8333333333333334,0.3333333333333333,0.9615384615384616,0.017671459,33.773,4.6,W10
76,3,3,2,9101619.0,Pteridium aquilinum,15.0,9201687.0,Rhododendron ponticum,0.5,11.0,0.1927710843373494,,87.5,0.9230769230769232,0.8461538461538461,0.17142857142857146,1.307687942,10.09634,4.439,W10,11.0,0.1927710843373494,,87.5,0.9230769230769231,0.8461538461538461,0.17142857142857143,1.307687942,10.09634,4.439,W10
77,3,3,2,9101619.0,Pteridium aquilinum,15.0,9201728.0,Rubus fruticosus agg.,5.0,11.0,0.1927710843373494,,87.5,0.9230769230769232,0.8461538461538461,0.17142857142857146,1.307687942,10.09634,4.439,W10,11.0,0.1927710843373494,,87.5,0.9230769230769231,0.8461538461538461,0.17142857142857143,1.307687942,10.09634,4.439,W10
78,3,4,1,9101619.0,Pteridium aquilinum,95.0,9201687.0,Rhododendron ponticum,0.5,11.0,0.08450704225352113,0.5070422535211268,105.5,0.3636363636363637,0.2727272727272727,0.9004739336492891,0.170824101,27.233,3.8,W16,11.0,0.08450704225352113,0.5070422535211268,105.5,0.36363636363636365,0.2727272727272727,0.9004739336492891,0.170824101,27.233,3.8,W16
79,3,4,1,9101619.0,Pteridium aquilinum,95.0,9201728.0,Rubus fruticosus agg.,1.0,11.0,0.08450704225352113,0.5070422535211268,105.5,0.3636363636363637,0.2727272727272727,0.9004739336492891,0.170824101,27.233,3.8,W16,11.0,0.08450704225352113,0.5070422535211268,105.5,0.36363636363636365,0.2727272727272727,0.9004739336492891,0.170824101,27.233,3.8,W16
80,3,4,2,9101619.0,Pteridium aquilinum,25.0,9201728.0,Rubus fruticosus agg.,5.0,12.0,,,42.0,0.5,0.4545454545454545,0.5952380952380952,1.093666943,7.927597,4.6110000000000015,W10,12.0,,,42.0,0.5,0.45454545454545453,0.5952380952380952,1.093666943,7.9275970000000004,4.611000000000001,W10
81,3,5,1,9101619.0,Pteridium aquilinum,50.0,9201728.0,Rubus fruticosus agg.,50.0,32.0,0.5573770491803278,,69.0,0.9910714285714286,0.9017857142857144,0.7246376811594203,0.594939109,8.773,4.8,OV27,32.0,0.5573770491803278,,69.0,0.9910714285714286,0.9017857142857143,0.7246376811594203,0.594939109,8.773,4.8,OV27
82,3,5,1,9101619.0,Pteridium aquilinum,50.0,9201815.0,Sambucus nigra,0.5,32.0,0.5573770491803278,,69.0,0.9910714285714286,0.9017857142857144,0.7246376811594203,0.594939109,8.773,4.8,OV27,32.0,0.5573770491803278,,69.0,0.9910714285714286,0.9017857142857143,0.7246376811594203,0.594939109,8.773,4.8,OV27
83,3,5,2,9101619.0,Pteridium aquilinum,25.0,9201728.0,Rubus fruticosus agg.,5.0,19.0,0.8813559322033898,0.11864406779661014,67.0,1.0,0.5,0.373134328358209,1.178097245,10.67299,5.397,OV27,19.0,0.8813559322033898,0.11864406779661017,67.0,1.0,0.5,0.373134328358209,1.178097245,10.672989999999999,5.397,OV27
84,3,6,1,9101619.0,Pteridium aquilinum,60.0,9201687.0,Rhododendron ponticum,1.0,6.0,,0.7391304347826086,63.5,0.2857142857142857,0.5714285714285714,0.9448818897637796,0.168860605,13.599,3.9,W10,6.0,,0.7391304347826086,63.5,0.2857142857142857,0.5714285714285714,0.9448818897637795,0.168860605,13.599,3.9,W10
