,Site,Plot,Yr,species,cover,alpha
247,2,10,2,Sorbus aucuparia,50.0,3.0
248,2,11,1,Hedera helix,5.0,4.0
249,2,11,1,Ilex aquifolium,50.0,4.0
250,2,11,1,Lonicera periclymenum,5.0,4.0
251,2,11,1,Rubus fruticosus agg.,60.0,4.0
252,2,11,1,Rubus idaeus,50.0,4.0
253,2,11,1,Sorbus aucuparia,50.0,4.0
254,2,11,2,Corylus avellana,50.0,16.0
255,2,11,2,Ilex aquifolium,50.0,16.0
256,2,11,2,Lonicera periclymenum,100.0,16.0
257,2,11,2,Rubus fruticosus agg.,50.0,16.0
258,2,11,2,Sambucus nigra,100.0,16.0
259,2,11,2,Solanum dulcamara,50.0,16.0
260,2,11,2,Sorbus aucuparia,50.0,16.0
261,2,11,2,Taxus baccata,50.0,16.0
262,2,12,1,Castanea sativa,50.0,9.0
263,2,12,1,Hedera helix,100.0,9.0
264,2,12,1,Ilex aquifolium,50.0,9.0
265,2,12,1,Lonicera periclymenum,100.0,9.0
266,2,12,1,Rubus fruticosus agg.,30.0,9.0
267,2,12,2,Betula pubescens,50.0,24.0
268,2,12,2,Fagus sylvatica,50.0,24.0
269,2,12,2,Hedera helix,50.0,24.0
270,2,12,2,Ilex aquifolium,50.0,24.0
271,2,12,2,Lonicera periclymenum,50.0,24.0
272,2,12,2,Rubus fruticosus agg.,50.0,24.0
273,2,12,2,Sambucus nigra,100.0,24.0
274,2,13,1,Ilex aquifolium,50.0,6.0
275,2,13,1,Lonicera periclymenum,5.0,6.0
276,2,13,1,Vaccinium myrtillus,50.0,6.0
277,2,13,2,Betula seedling/sp,100.0,26.0
278,2,13,2,Calluna vulgaris,50.0,26.0
279,2,13,2,Fagus sylvatica,50.0,26.0
280,2,13,2,Lonicera periclymenum,50.0,26.0
281,2,13,2,Quercus seedling/sp,50.0,26.0
282,2,13,2,Rubus fruticosus agg.,100.0,26.0
283,2,13,2,Salix cinerea,100.0,26.0
284,2,13,2,Sorbus aucuparia,100.0,26.0
285,2,14,1,Hedera helix,50.0,1.0
286,2,14,1,Ilex aquifolium,50.0,1.0
287,2,14,1,Lonicera periclymenum,100.0,1.0
288,2,14,1,Rubus fruticosus agg.,10.0,1.0
289,2,14,2,Betula seedling/sp,50.0,20.0
290,2,14,2,Ilex aquifolium,50.0,20.0
291,2,14,2,Populus tremula,50.0,20.0
292,2,14,2,Quercus seedling/sp,50.0,20.0
293,2,14,2,Rubus fruticosus agg.,50.0,20.0
294,2,14,2,Sambucus nigra,50.0,20.0
295,2,14,2,Solanum dulcamara,50.0,20.0
296,2,14,2,Taxus baccata,50.0,20.0
297,2,15,1,Betula seedling/sp,5.0,12.0
298,2,15,1,Castanea sativa,50.0,12.0
299,2,15,1,Hedera helix,100.0,12.0
300,2,15,1,Ilex aquifolium,50.0,12.0
301,2,15,1,Lonicera periclymenum,100.0,12.0
302,2,15,1,Rubus fruticosus agg.,5.0,12.0
303,2,15,1,Taxus baccata,50.0,12.0
304,2,15,2,Ilex aquifolium,50.0,2.0
305,2,15,2,Rubus fruticosus agg.,50.0,2.0
306,2,16,1,Hedera helix,100.0,1.0
307,2,16,1,Lonicera periclymenum,50.0,1.0
308,2,16,1,Quercus seedling/sp,50.0,1.0
309,2,16,1,Rubus fruticosus agg.,100.0,1.0
310,2,16,2,Ilex aquifolium,100.0,3.0
311,2,16,2,Rhododendron ponticum,50.0,3.0
312,2,16,2,Rubus fruticosus agg.,40.0,3.0
313,2,16,2,Taxus baccata,50.0,3.0
314,3,1,1,Acer pseudoplatanus,50.0,16.0
315,3,1,1,Rosa seedling/sp,50.0,16.0
316,3,1,1,Rubus fruticosus agg.,10.0,16.0
317,3,1,1,Sambucus nigra,50.0,16.0
318,3,1,1,Ulex sp.,100.0,16.0
319,3,1,2,Fraxinus excelsior (c),50.0,4.0
320,3,1,2,Hedera helix,50.0,4.0
321,3,2,1,Acer pseudoplatanus,50.0,35.0
322,3,2,1,Rubus fruticosus agg.,70.0,35.0
323,3,2,2,Hedera helix,100.0,22.0
324,3,2,2,Ilex aquifolium,50.0,22.0
325,3,3,1,Acer pseudoplatanus,50.0,8.0
326,3,3,1,Hedera helix,50.0,8.0
327,3,3,1,Lonicera periclymenum,50.0,8.0
328,3,3,1,Rubus fruticosus agg.,100.0,8.0
329,3,3,1,Vaccinium myrtillus,50.0,8.0
330,3,3,2,Hedera helix,100.0,11.0
331,3,3,2,Rhododendron ponticum,50.0,11.0
332,3,3,2,Rubus fruticosus agg.,5.0,11.0
333,3,4,1,Acer pseudoplatanus,50.0,11.0
334,3,4,1,Betula seedling/sp,50.0,11.0
335,3,4,1,Calluna vulgaris,50.0,11.0
336,3,4,1,Erica cinerea,50.0,11.0
337,3,4,1,Quercus ilex,50.0,11.0
338,3,4,1,Rhododendron ponticum,50.0,11.0
339,3,4,1,Rubus fruticosus agg.,100.0,11.0
340,3,4,1,Ulex sp.,50.0,11.0
341,3,4,1,Vaccinium myrtillus,100.0,11.0
342,3,4,2,Calluna vulgaris,50.0,12.0
343,3,4,2,Hedera helix,50.0,12.0
344,3,4,2,Rubus fruticosus agg.,5.0,12.0
345,3,4,2,Vaccinium myrtillus,5.0,12.0
346,3,5,1,Acer pseudoplatanus,50.0,32.0
347,3,5,1,Hedera helix,5.0,32.0
348,3,5,1,Rubus fruticosus agg.,50.0,32.0
349,3,5,1,Sambucus nigra,50.0,32.0
350,3,5,2,Hedera helix,5.0,19.0
351,3,5,2,Rubus fruticosus agg.,5.0,19.0
352,3,6,1,Betula seedling/sp,50.0,6.0
353,3,6,1,Quercus ilex,50.0,6.0
354,3,6,1,Rhododendron ponticum,100.0,6.0
355,3,6,1,Rubus fruticosus agg.,100.0,6.0
356,3,6,1,Vaccinium myrtillus,50.0,6.0
357,3,6,2,Calluna vulgaris,50.0,16.0
358,3,6,2,Hedera helix,100.0,16.0
359,3,6,2,Rubus fruticosus agg.,5.0,16.0
360,3,6,2,Ulex sp.,100.0,16.0
361,3,6,2,Vaccinium myrtillus,5.0,16.0
362,3,7,1,Erica cinerea,100.0,9.0
363,3,7,1,Hedera helix,100.0,9.0
364,3,7,1,Quercus ilex,50.0,9.0
365,3,7,1,Rhododendron ponticum,50.0,9.0
366,3,7,1,Rubus fruticosus agg.,5.0,9.0
367,3,7,2,Calluna vulgaris,100.0,15.0
368,3,7,2,Castanea sativa,50.0,15.0
369,3,7,2,Erica cinerea,100.0,15.0
370,3,7,2,Hedera helix,5.0,15.0
371,3,7,2,Quercus seedling/sp,50.0,15.0
372,3,7,2,Rubus fruticosus agg.,100.0,15.0
373,3,7,2,Ulex sp.,100.0,15.0
374,3,7,2,Vaccinium myrtillus,50.0,15.0
375,3,8,1,Hedera helix,80.0,14.0
376,3,8,1,Rosa seedling/sp,50.0,14.0
377,3,8,1,Rubus fruticosus agg.,5.0,14.0
378,3,8,2,Hedera helix,100.0,8.0
379,3,8,2,Rubus fruticosus agg.,100.0,8.0
380,3,9,1,Crataegus monogyna,50.0,21.0
381,3,9,1,Hedera helix,70.0,21.0
382,3,9,1,Lonicera periclymenum,50.0,21.0
383,3,9,1,Prunus spinosa,50.0,21.0
384,3,9,1,Quercus seedling/sp,50.0,21.0
385,3,9,1,Rubus fruticosus agg.,25.0,21.0
386,3,9,1,Ulex sp.,50.0,21.0
387,3,9,2,Fagus sylvatica,50.0,7.0
388,3,9,2,Fraxinus excelsior (c),50.0,7.0
389,3,9,2,Hedera helix,100.0,7.0
390,3,9,2,Rubus fruticosus agg.,100.0,7.0
391,3,10,1,Betula seedling/sp,50.0,10.0
392,3,10,1,Rhododendron ponticum,50.0,10.0
393,3,10,1,Rubus fruticosus agg.,100.0,10.0
394,3,10,1,Vaccinium myrtillus,100.0,10.0
395,3,10,2,Ilex aquifolium,50.0,3.0
396,3,10,2,Rubus fruticosus agg.,5.0,3.0
397,3,10,2,Ulex sp.,50.0,3.0
398,3,10,2,Vaccinium myrtillus,5.0,3.0
399,3,11,1,Betula seedling/sp,50.0,25.0
400,3,11,1,Rubus fruticosus agg.,40.0,25.0
401,3,11,2,Hedera helix,5.0,8.0
402,3,11,2,Lonicera periclymenum,100.0,8.0
403,3,11,2,Rubus fruticosus agg.,100.0,8.0
404,3,12,1,Hedera helix,25.0,8.0
405,3,12,1,Lonicera periclymenum,50.0,8.0
406,3,12,1,Rosa seedling/sp,50.0,8.0
407,3,12,1,Rubia peregrina,50.0,8.0
408,3,12,1,Rubus fruticosus agg.,5.0,8.0
409,3,12,1,Sorbus aucuparia,50.0,8.0
410,3,12,2,Fraxinus excelsior (c),50.0,12.0
411,3,12,2,Hedera helix,100.0,12.0
412,3,12,2,Ilex aquifolium,50.0,12.0
413,3,12,2,Lonicera periclymenum,100.0,12.0
414,3,12,2,Rubus fruticosus agg.,100.0,12.0
415,3,12,2,Taxus baccata,50.0,12.0
416,3,13,1,Betula seedling/sp,50.0,5.0
417,3,13,1,Hedera helix,50.0,5.0
418,3,13,1,Picea sp,50.0,5.0
419,3,13,1,Rhododendron ponticum,50.0,5.0
420,3,13,1,Rubus fruticosus agg.,50.0,5.0
421,3,13,1,Vaccinium myrtillus,100.0,5.0
422,3,13,2,Calluna vulgaris,50.0,4.0
423,3,13,2,Hedera helix,5.0,4.0
424,3,13,2,Quercus seedling/sp,50.0,4.0
425,3,13,2,Rubus fruticosus agg.,10.0,4.0
426,3,13,2,Sorbus aucuparia,50.0,4.0
427,3,13,2,Ulex sp.,50.0,4.0
428,3,13,2,Vaccinium myrtillus,100.0,4.0
429,3,14,1,Acer pseudoplatanus,50.0,6.0
430,3,14,1,Lonicera periclymenum,100.0,6.0
431,3,14,1,Rhododendron ponticum,50.0,6.0
432,3,14,1,Rubus fruticosus agg.,100.0,6.0
433,3,14,1,Vaccinium myrtillus,100.0,6.0
434,3,15,1,Rubus fruticosus agg.,5.0,5.0
435,3,15,2,Hedera helix,100.0,9.0
436,3,15,2,Lonicera periclymenum,100.0,9.0
437,3,15,2,Rubus fruticosus agg.,5.0,9.0
438,3,15,2,Sorbus aucuparia,50.0,9.0
439,3,16,1,Betula seedling/sp,100.0,9.0
440,3,16,1,Erica cinerea,50.0,9.0
441,3,16,1,Rubus fruticosus agg.,100.0,9.0
442,3,16,1,Ulex sp.,100.0,9.0
443,3,16,1,Vaccinium myrtillus,50.0,9.0
444,3,16,2,Betula seedling/sp,50.0,5.0
445,3,16,2,Calluna vulgaris,50.0,5.0
446,3,16,2,Ilex aquifolium,50.0,5.0
447,3,16,2,Lonicera periclymenum,100.0,5.0
448,3,16,2,Rubus fruticosus agg.,5.0,5.0
449,3,16,2,Sorbus aucuparia,50.0,5.0
450,3,16,2,Vaccinium myrtillus,10.0,5.0
451,4,1,1,Acer pseudoplatanus,50.0,27.0
452,4,1,1,Corylus avellana,100.0,27.0
453,4,1,1,Crataegus monogyna,100.0,27.0
454,4,1,1,Fraxinus excelsior (c),50.0,27.0
455,4,1,1,Ilex aquifolium,50.0,27.0
456,4,1,1,Quercus seedling/sp,50.0,27.0
457,4,1,1,Rosa seedling/sp,50.0,27.0
458,4,1,1,Rubus fruticosus agg.,50.0,27.0
459,4,1,1,Rubus idaeus,50.0,27.0
460,4,1,1,Viburnum opulus,50.0,27.0
461,4,1,2,Fraxinus excelsior (c),50.0,15.0
462,4,1,2,Lonicera periclymenum,10.0,15.0
463,4,1,2,Rubus fruticosus agg.,5.0,15.0
464,4,2,1,Acer campestre,50.0,25.0
465,4,2,1,Corylus avellana,50.0,25.0
466,4,2,1,Crataegus monogyna,50.0,25.0
467,4,2,1,Fraxinus excelsior (c),50.0,25.0
468,4,2,1,Quercus seedling/sp,50.0,25.0
469,4,2,1,Rosa seedling/sp,50.0,25.0
470,4,2,1,Rubus fruticosus agg.,100.0,25.0
471,4,2,1,Sorbus aucuparia,50.0,25.0
472,4,2,2,Fraxinus excelsior (c),50.0,15.0
473,4,2,2,Rubus fruticosus agg.,10.0,15.0
474,4,3,1,Acer pseudoplatanus,50.0,21.0
475,4,3,1,Crataegus monogyna,50.0,21.0
476,4,3,1,Lonicera periclymenum,50.0,21.0
477,4,3,1,Rosa seedling/sp,100.0,21.0
478,4,3,1,Rubus fruticosus agg.,100.0,21.0
479,4,3,1,Sorbus aucuparia,100.0,21.0
480,4,3,2,Betula seedling/sp,50.0,14.0
481,4,3,2,Crataegus monogyna,50.0,14.0
482,4,3,2,Fraxinus excelsior (c),50.0,14.0
483,4,3,2,Lonicera periclymenum,15.0,14.0
484,4,3,2,Sorbus aucuparia,50.0,14.0
485,4,4,1,Crataegus monogyna,50.0,10.0
486,4,4,1,Fraxinus excelsior (c),50.0,10.0
487,4,4,1,Lonicera periclymenum,100.0,10.0
488,4,4,1,Rubus fruticosus agg.,100.0,10.0
489,4,4,1,Rubus idaeus,100.0,10.0
490,4,4,1,Sorbus aucuparia,50.0,10.0
491,4,4,2,Fraxinus excelsior (c),50.0,6.0
492,4,4,2,Rubus fruticosus agg.,30.0,6.0
493,4,4,2,Sorbus aucuparia,50.0,6.0
494,4,4,2,Vaccinium myrtillus,50.0,6.0
495,4,5,1,Castanea sativa,50.0,29.0
496,4,5,1,Crataegus monogyna,100.0,29.0
497,4,5,1,Fraxinus excelsior (c),50.0,29.0
498,4,5,1,Rosa seedling/sp,50.0,29.0
499,4,5,1,Rubus fruticosus agg.,100.0,29.0
500,4,5,1,Sorbus aucuparia,50.0,29.0
501,4,5,1,Ulmus procera,50.0,29.0
502,4,5,2,Fraxinus excelsior (c),50.0,12.0
503,4,5,2,Lonicera periclymenum,10.0,12.0
504,4,5,2,Rubus fruticosus agg.,5.0,12.0
505,4,6,1,Acer campestre,100.0,30.0
506,4,6,1,Corylus avellana,50.0,30.0
507,4,6,1,Crataegus monogyna,50.0,30.0
508,4,6,1,Fraxinus excelsior (c),50.0,30.0
509,4,6,1,Rosa seedling/sp,100.0,30.0
510,4,6,1,Rubus fruticosus agg.,100.0,30.0
511,4,6,1,Rubus idaeus,100.0,30.0
512,4,6,1,Sorbus aucuparia,50.0,30.0
513,4,6,2,Acer campestre,50.0,10.0
514,4,6,2,Crataegus monogyna,50.0,10.0
515,4,6,2,Fraxinus excelsior (c),50.0,10.0
516,4,6,2,Rubus fruticosus agg.,5.0,10.0
517,4,6,2,Sorbus aucuparia,50.0,10.0
518,4,7,1,Acer campestre,50.0,24.0
519,4,7,1,Corylus avellana,50.0,24.0
520,4,7,1,Fraxinus excelsior (c),50.0,24.0
521,4,7,2,Corylus avellana,50.0,6.0
522,4,7,2,Lonicera periclymenum,5.0,6.0
523,4,7,2,Rubus fruticosus agg.,10.0,6.0
